question,context,answers
the iran-contra,"['The background to the scandal lay in President Ronald Reagan’s pre-occupation with the spread of communism, in particular in the United States’ own backyard of Central America.'
 'DOCUMENTS MEDIA PRESS PROFILES TIMELINES. Welcome to “Understanding the Iran-Contra Affairs,” the only comprehensive website on the famous Reagan-era government scandal, which stemmed from the U.S. government’s policies toward two seemingly unrelated countries, Nicaragua and Iran.'
 'NOV. 23 Colonel North meets privately with Mr. McFarlane and tells him that the diversion was approved by White House superiors. The colonel also meets with Attorney General Edwin Meese 3d and informs him. NOV. 24 Mr. Meese tells the President of the diversion. NOV. 25 Mr. Meese discloses the Iran-contra connection.'
 ""The Iran-Contra Affair. Ronald Reagan's efforts to eradicate Communism spanned the globe, but the insurgent Contras' cause in Nicaragua was particularly dear to him. Under the so-called Reagan Doctrine, the CIA trained and assisted this and other anti-Communist insurgencies worldwide.""
 'Iran-Contra Affair, 1980s U.S. political scandal in which the National Security Council (NSC) became involved in secret weapons transactions and other activities that either were prohibited by the U.S. Congress or violated the stated public policy of the government.'
 'User Reviews. Cover Up: This documentary was covered up, unreported by mainstream media. I worked for the Jackson campaign in 1988, when this documentary was shown in only one small theater in the large US city where I live. During that campaign, the press would print any rumor about any candidate, no matter how lacking in credibility the source.'
 '“Understanding the Iran-Contra Affairs” provides information about the rise of the contra rebels in Nicaragua and about the Iranian Revolution, as well as the U.S. responses to both. Moreover, the website details the media’s discovery and later press coverage of the Affairs, and the subsequent televised congressional hearings.'
 'The Cold War Museum. Iran Contra Affair (1983 - 1988) The Iran Contra Affair began as an internal U.S. confrontation between Ronald Reagan and the Democratic Congress. In 1984, the Boland Amendment passed, which said that the CIA and Department of Defense could not give militaristic aid (specifically in Nicaragua).'
 'The Iran-Contra Report: Chronology. 1981 AUG. 4 Oliver L. North, a Marine major, is assigned to the National Security Council at the White House. DECEMBER President Ronald Reagan signs an executive order that authorizes a covert operation by the C.I.A. to support the contras, rebels who are fighting the leftist Government of Nicaragua.'
 ""The Iran-Contra Affair. Ronald Reagan's efforts to eradicate Communism spanned the globe, but the insurgent Contras' cause in Nicaragua was particularly dear to him. Battling the Cuban-backed Sandinistas, the Contras were, according to Reagan, the moral equivalent of our Founding Fathers..""]",The Iran Contra Affair began as an internal U.S. confrontation between Ronald Reagan and the Democratic Congress.
what was the inqisitions all about,"['the Inquisition: an organization in the Roman Catholic Church in the past that was responsible for finding and punishing people who did not accept its beliefs and practices. : a harsh and unfair investigation or series of questions.'
 'Tweet. the Inquisition: an organization in the Roman Catholic Church in the past that was responsible for finding and punishing people who did not accept its beliefs and practices. : a harsh and unfair investigation or series of questions.'
 'The Spanish Inquisition was established in 1478 as a court for the detection of heretics, although its true purpose remains somewhat obscure. While most historians point to a combination of political, economic and religious motives, the latter were certainly predominant.'
 'Sooner or later, any discussion of apologetics with Fundamentalists will address the Inquisition. To non-Catholics it is a scandal; to Catholics, an embarrassment; to both, a confusion. It is a handy stick for Catholic-bashing, simply because most Catholics seem at a loss for a sensible reply.'
 'While many people associate the Inquisition with Spain and Portugal, it was actually instituted by Pope Innocent III (1198-1216) in Rome. A later pope, Pope Gregory IX established the Inquisition, in 1233, to combat the heresy of the Abilgenses, a religious sect in France.'
 'noun in·qui·si·tion \\ˌin-kwə-ˈzi-shən, ˌiŋ-\\. Tweet. the Inquisition: an organization in the Roman Catholic Church in the past that was responsible for finding and punishing people who did not accept its beliefs and practices.'
 ""According to public news reports the book's editor, Prof. Agostino Borromeo, stated that about 125,000 persons were investigated by the Spanish Inquisition, of which 1.8% were executed (2,250 people). Most of these deaths occurred in the first decade and a half of the Inquisition's 350 year history.""
 'The first was established in 1184 in southern France as a response to the Catharist heresy. This was known as the Medieval Inquisition, and it was phased out as Catharism disappeared. Quite separate was the Roman Inquisition, begun in 1542. It was the least active and most benign of the three variations.'
 'It was different from other court systems because the court actually took part in the process of trying the accused. The term inquisition has a third meaning also -- the trials themselves. Because of its association with torture and execution, inquisition remains a controversial and difficult subject.'
 'This is as much a disservice to the truth as an exaggeration of the Inquisition’s bad points. These well-intentioned, but misguided, apologists are, in one respect, much like Lea, Coulton, and contemporary Fundamentalist writers.']",An organization in the Roman Catholic Church in the past that was responsible for finding and punishing people who did not accept its beliefs and practices.
what is a requirement traceability matrix,"['A requirements traceability matrix may be used to check to see if the current project requirements are being met, and to help in the creation of a request for proposal, software requirements specification, various deliverable documents, and project plan tasks. requirements traceability matrix may be used to check to see if the current project requirements are being met, and to help in the creation of a request for proposal, software requirements specification, various deliverable documents, and project plan tasks.'
 ""A traceability matrix is a document that co-relates any two-baseline documents that require a many-to-many relationship to check the completeness of the relationship. It is used to track the requirements and to check the current project requirements are met.ow to create Requirement Traceability Matrix. Let's understand the concept of Requirement Traceability Matrix through a Guru99 banking project. On the basis of Business Requirement Document (BRD) and Technical Requirement Document (TRD), testers start writing test cases.""
 'Requirements Traceability Matrix. The Requirements Traceability Matrix (RTM) is a document that links requirements throughout the validation process. The purpose of the Requirements Traceability Matrix is to ensure that all requirements defined for a system are tested in the test protocols.he traceability matrix is a tool both for the validation team, to ensure that requirements are not lost during the validation project, and for auditors, to review the validation documentation.'
 'Requirements traceability is a sub-discipline of requirements management within software development and systems engineering. Requirements traceability is concerned with documenting the life of a requirement and providing bi-directional traceability between various associated requirements.It enables users to find the origin of each requirement and track every change that was made to this requirement.equirements traceability is concerned with documenting the life of a requirement and providing bi-directional traceability between various associated requirements.'
 ""Requirement Traceability Matrix. Requirement Traceability Matrix or RTM captures all requirements proposed by the client or development team and their traceability in a single document delivered at the conclusion of the life-cycle.In other words, it is a document that maps and traces user requirement with test cases.The main purpose of Requirement Traceability Matrix is to see that all test cases are covered so that no functionality should miss while testing.ow to create Requirement Traceability Matrix. Let's understand the concept of Requirement Traceability Matrix through a Guru99 banking project. On the basis of Business Requirement Document (BRD) and Technical Requirement Document (TRD), testers start writing test cases.""
 'Requirements traceability matrix is a table that shows the many to many relationship between requirements and test cases. Each requirement is mapped to one or more test cases.Each test tests one or more requirements.This video explains the Requirements traceability matrix or RTM.equirements traceability matrix is a table that shows the many to many relationship between requirements and test cases. Each requirement is mapped to one or more test cases.'
 'A traceability matrix is a table that traces a requirement to the tests that are needed to verify that the requirement is fulfilled. A good traceability matrix will provide backward and forward traceability, i.e. a requirement can be traced to a test and a test to a requirements.f a test fails, it is possible to use the traceability matrix to see what requirements and code the test case relates to.The goal of a matrix of this type is -1. To make sure that the approved requirements are addressed/covered in all phases of development: From SRS to Development to Testing to Delivery.2.'
 'Traceability matrices can be established using a variety of tools including requirements management software, databases, spreadsheets, or even with tables or hyperlinks in a word processor. A traceability matrix is created by associating requirements with the work products that satisfy them.Tests are associated with the requirements on which they are based and the product to be tested against the requirement. traceability matrix is created by associating requirements with the work products that satisfy them. Tests are associated with the requirements on which they are based and the product to be tested against the requirement.'
 'A traceability matrix is used to verify that all stated and derived requirements are allocated to system components and other deliverables (forward trace). The matrix is also used to determine the source of requirements (backward trace).Requirements traceability includes tracing to things other than software that satisfy the requirements such as capabilities, design elements, manual operations, tests, etc.EQUIREMENTS TRACEABILITY MATRIX. The purpose of the RTM is to help ensure the object of the requirements conforms to the requirements by associating each requirement with the object via the traceability matrix.'
 'The traceability matrix can either reference the requirement identifiers (unique numbers for each requirement) or the actual requirement itself. In the example shown below, requirements are traced between a Functional Requirements Specification, Design Specification, and Operational Qualification.he traceability matrix is a tool both for the validation team, to ensure that requirements are not lost during the validation project, and for auditors, to review the validation documentation.']",It is a document that links requirements throughout the validation process.
which birth control method reduces the risk of pregnancy and protects from sexually transmitted infections?,"['– Ellie*. It’s great that you are thinking about protection in advance. After abstinence, the best protection against both pregnancy and STDs is actually to use two methods of birth control at the same time: a condom to protect against STDs, and.'
 'Which birth control methods also protect against sexually transmitted infections (STIs)? The male latex or polyurethane condom gives the best protection against STIs. The female condom provides some protection. With all other methods, you also should use a male or female condom to protect against STIs.'
 'Birth control pills, injections, patches or intravaginal rings only protect against pregnancy. There were some previous studies that suggested that the environment in the cervical mucous changed with the birth control pill that would ward off sexually transmitted infections such as gonorrhea and chlamydia.'
 ""Condoms are the only type of birth control that protects against STDs. When used correctly, condoms are also fairly effective at protecting against pregnancy — but they're not as successful as hormonal methods like the Pill, patch, ring, IUD, or birth control shot.""
 'Other things to consider when choosing a method of birth control include: 1  Health benefits, such as decreased risk of sexually transmitted infections with condoms and reduced risk of ovarian cancer and uterine cancer with use of birth control pills for one year or longer. 2  Convenience and ease of use. 3  Cost.'
 'If you have sex without using any birth control, if the birth control method did not work (for instance, the condom broke during sex), or if you are raped, you can use emergency birth control to prevent pregnancy. Emergency birth control is available in pill form or as a copper IUD.'
 'After abstinence, the best protection against both pregnancy and STDs is actually to use two methods of birth control at the same time: 1  a condom to protect against STDs, and. 2  a hormonal method (like the Pill), because these have the highest protection rates against pregnancy.'
 'No. Most birth control methods—such as the pill, Norplant, the diaphragm, and the intrauterine device (IUD)—do not protect against sexually transmitted infections (STIs).'
 'To choose the right birth control method for you, consider the following: 1  How well it prevents pregnancy. 2  How easy it is to use. 3  Whether you need a prescription to get it.  Whether it protects against sexually transmitted infections 1  (STIs) Whether you have any health problems.'
 'No. Despite the many non-contraceptive benefits of birth control pills, they will not protect someone from sexually transmitted diseases. Only a barrier method such as a condom (male or female) will limit the risk of most STDs.']",The male latex or polyurethane condom and female condom.
does nerve damage from chemo heal,"['Hormones problems can also lead to nerve pain, make sure to have your thyroid levels checked, your thyroid could be the culprit. Even being depressed can start the cycle of stress that leads to nerve pain.'
 'Injury to the peripheral nerves can occur through a variety of trauma. Common causes of nerve injuries include: 1  Laceration. 2  Focal contusion (gunshot wounds). 3  Stretch/traction injury. 4  Compression. 5  Drug injection injury. 6  Electrical injury.'
 '1 Fourth-degree injury: In this case, there is damage to the axons and the surrounding tissues sufficient to create scarring that prevents nerve regeneration. 2  Intra-operative electrical testing confirms that no electrical energy can be passed along the neural pathways in this injured nerve.'
 'Many people have nerve pain from diabetes, injuries, surgery and many other causes, but there are ways to heal nerve pain naturally. By Dr. Paul Haider.'
 'First of all find out what’s causing your nerve pain and work to cure the cause. If you have diabetes then you have to work to lowering your blood sugar levels and perhaps if you are newly diagnosed as being diabetic then perhaps you can turn it around and get things back to normal with exercise, diet, and great herbs.'
 'In order to fully determine the extent of the damage to the nerve, your doctor may order an EMG / NCV, an electrical conduction test to determine the passage of electrical currents through the nerves. These tests are sometimes done during actual surgery while the patient is sedated.'
 '1 Surgical intervention with nerve grafting is necessary to repair the damage. 2  Fifth-degree injury: These injuries are usually found in laceration or severe stretch injuries. 3  The nerve is divided into two. 4  The only way to repair a fifth-degree injury is through surgery.'
 'Neuropathic pain comes from nerve damage. Most commonly, this is caused by medical conditions such as diabetes, side effects from drugs or chemotherapy, or injuries. Damaged nerves are more likely to misfire, sending pain signals when there is no cause for pain.'
 '1 Second-degree injury: There is a loss of continuity of the axons or electrical wires within the nerve. 2  If this kind of injury can be confirmed through pre-operative nerve testing, surgical intervention is usually not required.'
 'Stay away from white bread, processed foods, artificial colors and flavors, sweets, corn oils, fast food, and lots of caffeine (green tea is OK). Also green juicing can help you cleans your body of toxins that might be causing your nerve pain.']",Yes
uso definition,"['uso. 1  a relative of the same generation and gender. 2  pith (the soft, spongy substance in the center of the stems of many plants and trees) 3  root of the kava plant, Piper methysticum.'
 'On USO overseas tours, sports stars are quickly surrounded by soldiers craving the inside scoop about their favorite teams. Stars Who Entertain the Troops Laura Colarusso October 5, 2011. He has recently returned from a USO Tour in Iraq, and Thrive Records (Island Def Jam) will release his Total Club Hits Vol.'
 'That all changed when Brees went to Okinawa in the spring of 2008 on a USO trip. Stars Who Entertain the Troops Laura Colarusso October 5, 2011. Prior to joining the USO, Alan led supply chain, customer support, and school service operations at K12, Inc. The Hero Summit 2013 Speakers September 9, 2013.'
 'una base de datos para uso exclusivo de los científicosa database for the use of scientists only. el uso correcto del pronombre lethe correct use of the pronoun le. el uso de la bicicleta no está permitido en autopistasbicycles are not allowed or permitted on motorways. no está permitido el uso de la bocina en las proximidades de un hospitalyou cannot hoot your horn in the vicinity of a hospital.'
 'With more than 200 members, the USO Congressional Caucus unites our leaders and helps strengthen the bridge that supports our military by keeping America’s service members connected to family, home and country.'
 'Ausamah Saed better known as U$O also known as U-Dollartegn, is a rapper from Aarhus, Denmark, who released his debut album, Mr. Mista in 2000. U$O he was a member of the now defunct rap group B.A.N.G.E.R.S. together with L.O.C. and N.I.S., and later Johnson.'
 'Historical Examples. 1  This word (in Japanese USO) is employed to denote anything which is not a truth (makoto) or fact (honto). 2  Two months each year he took time off to travel the USO circuit. 3  None ever returned, but USO di Mare himself spoke with the last surviving descendant of those Genoese.'
 'The USO strengthens America’s military service members by keeping them connected to family, home and country, throughout their service to the nation. For over 75 years, the USO has been the nation’s leading organization to serve the men and women in the U.S. military, and their families, throughout their time in uniform.'
 'USO redirects here. For other uses, see USO (disambiguation). The United Service Organizations Inc. (USO Show) is a nonprofit organization that provides programs, services and live entertainment to United States service members and their families.'
 'USO stands for. 1  32. similar. USO. 2  11. USO. United Service Organizations. 3  11. USO. United Service Organization.  4. USO. United Services 1  Organisation. 7. similar. 2  USO. 6. USO. Unidentified Submerged Object.  0. USO. Unit Security 1  Officer. 0. USO. Unix Software Organization.']","It is a nonprofit organization that provides programs, services and live entertainment to United States service members and their families."
what is mass multiplied by acceleration,"['In physics, a force is any interaction that, when unopposed, will change the motion of an object. In other words, a force can cause an object with mass to change its velocity (which includes to begin moving from a state of rest), i.e., to accelerate. Force can also be described intuitively as a push or a pull.'
 'Best Answer: Gravity is the force by which one mass attracts another, and vice-versa. Even though an object is at rest and motionless, there is a gravitational force acting upon it. Without that gravitational force, the object would essentially start floating around.'
 'Get free help! 1  80% of questions are answered in under 10 minutes. 2  Answers come with explanations, so that you can learn. 3  Answer quality is ensured by our experts.'
 'A way to think about force is using the equation you stated. Force = Mass x Acceleration. Using some standard units, 1 unit of Force called a Newton is the amount it takes to accelerate an object having a mass of 1 kg exactly 1 m/s^2 (assuming no friction). 1 Newton = 1 kg x 1 m/s^2.'
 ""Now the units of force per mass are also those of acceleration. And it so happens that because gravitational mass (the thing that feels gravity) is equivalent to inertial mass (the m in Newton's second law that resists acceleration), the m's cancel if gravity is the only force acting. F = ma = mg, so a=g.""
 'An object with a mass of 100 grams (0.100 kg) is dropped from a certain height and has a velocity of 60 meters/second. If the potential energy of this object is 179.99 joules, how high was the... An object with a mass of 100 grams (0.100 kg) is dropped from a certain height and has a velocity of 60 meters/second.'
 'Mass and Weight. The mass of an object is a fundamental property of the object; a numerical measure of its inertia; a fundamental measure of the amount of matter in the object. Definitions of mass often seem circular because it is such a fundamental quantity that it is hard to define in terms of something else.'
 'The weight of an object is the force of gravity on the object and may be defined as the mass times the acceleration of gravity, w = mg. Since the weight is a force, its SI unit is the newton. Density is mass/volume.'
 'Now, to calculate the force of the object on the earth, and the force imparted by the earth on that object, take the equation F = (G me m2) / (r^2) where G is the universal gravitational constant, me is the mass of the earth, m2 is the mass of your object, and r^2 is radius of the earth, squared.'
 'If the mass of the object is constant, this law implies that the acceleration of an object is directly proportional to the net force acting on the object, is in the direction of the net force, and is inversely proportional to the mass of the object.']",Force
what is concasse,"['Concasse, from the French concasser, to crush or grind, is a cooking term meaning to rough chop any ingredient, usually vegetables. This term is particularly applied to tomatoes, where tomato concasse is a tomato that has been peeled, seeded (seeds and skins removed), and chopped to specified dimensions.'
 'Freebase(0.00 / 0 votes)Rate this definition: Concasse. Concasse, from the French concasser, to crush or grind, is a cooking term meaning to rough chop any ingredient, usually vegetables. This term is particularly applied to tomatoes, where tomato concasse is a tomato that has been peeled, seeded, and chopped to specified dimensions.'
 'Quotes containing the term concasse; Search for Phrases containing the term concasse; Search for Poems containing the term concasse; Search for Scripts containing the term concasse; Search for Abbreviations containing the term concasse; What rhymes with concasse? Search for Song lyrics containing the word concasse; Search for concasse on Amazon; Search for concasse on Google'
 'And the tomato concasse is an easy, useful technique to have in your back pocket; the procedure involves boiling scored tomatoes in water before being peeled, seeded and then roughly chopped, with a simple end result that can be served alone or applied to a variety of dishes.'
 'The most popular use for tomato concasse is in an Italian bruschetta, typically small dice concasse mixed with olive oil and fresh basil, and sometimes other ingredients such as onion, olives, or anchovies. Tomato concasse is also added to Béarnaise sauce to produce Choron sauce which is served with lobster dishes buttered. See also. Brunoise'
 'Concasse, from the Frenchconcasser, to crush or grind, is a cooking term meaning to rough chop any ingredient, usually vegetables. This term is particularly applied to tomatoes, where tomato concasse is a tomato that has been peeled, seeded (seeds and skins removed), and chopped to specified dimensions. Specified dimensions can be rough chop, small dice, medium dice, or large dice.'
 'Tomato concasse can be used as the base for tomato sauce, served atop crusty bread for bruschetta, or added to the decadent Béarnaise sauce for a sauce Choron. Eric Ripert, chef/owner of the three-Michelin-starred Le Bernardin in New York City, beefs up his tomato compote by adding tomato concasse for his elevated take on a crab cake.'
 'Definitions for concasse. Here are all the possible meanings and translations of the word concasse. Freebase(0.00 / 0 votes)Rate this definition: Concasse, from the French concasser, to crush or grind, is a cooking term meaning to rough chop any ingredient, usually vegetables.'
 'In this series, we build the culinary library with the best of the basics. The tomato concasse is an easy, useful technique to have in your back pocket.'
 'The most popular use for tomato concasse is in an Italian bruschetta, typically small dice concasse mixed with olive oil and fresh basil, and sometimes other ingredients such as onion, olives, or anchovies.']","Concasse is a cooking term meaning to rough chop any ingredient, usually vegetables."
harriet beecher stowe birthday,"[""Harriet Beecher Stowe's 70th birthday in 1881 was a matter of national celebration, but she did not appear in public much in her later years. Harriet helped her son, Charles, write her biography, published in 1889. Calvin Stowe died in 1886, and Harriet Beecher Stowe, bedridden for some years, died in 1896.""
 'Enjoy memorable 10 quotes from abolitionist Harriet Beecher Stowe on what would have been her 201st birthday. Enjoy memorable 10 quotes from abolitionist Harriet Beecher Stowe on what would have been her 201st birthday.'
 ""Harriet Beecher Stowe was born in Connecticut in 1811, the seventh child of her father, the noted Congregationalist preacher, Lyman Beecher, and his first wife, Roxana Foote. Her mother died when she was four, and Harriet's oldest sister, Catherine, took over care of the children.""
 'Harriet Beecher Stowe: 10 memorable quotes on her birthday. June 13, 2012. American abolitionist writer Harriett Beecher Stowe was born on June 14, 1811 to Lyman Beecher, a Congregationalist minister.'
 ""Religion: Congregationalist; later, Episcopalian, spiritualist. 1  Biography of Isabella Beecher Hooker, Women's Suffrage Activist. 2  The Real Story of Solomon Northup, Author of Twelve Years a Slave. 3  Quotes from Harriet Beecher Stowe, Anti-Slavery Writer. 4  Timeline 1800-1859: African American History and Women.""
 'Harriet Beecher Stowe was the seventh child of Lyman Beecher and his first wife Roxana. 1  Father: Lyman Beecher (famous Congregationalist minister; president, Lane Theological Seminary, Cincinnati, Ohio) 2  Mother: Roxana Foote Beecher (granddaughter of General Andrew Ward; mill girl before marriage; died when Harriet was four)'
 ""Known for: author of Uncle Tom's Cabin, a book which helped build anti-slavery sentiment in America and abroad. Occupation: writer, teacher, reformer. Dates: June 14, 1811 - July 1, 1896. Also known as Harriet Elizabeth Beecher Stowe, Harriet Stowe, Christopher Crowfield.""
 ""1 American abolitionist writer Harriett Beecher Stowe was born on June 14, 1811 to Lyman Beecher, a Congregationalist minister. A highly influential figure in the antislavery movement, Harriet is best known for her best selling novel Uncle Tom's Cabin (1850), a novel that captivated readers across the country with its vivid and emotional picture of the cruel realities of slavery as she had witnessed it.""
 ""Harriet Beecher Stowe is best known for writing Uncle Tom's Cabin, in which she expresses her moral outrage at the institution of slavery and its destructive effects on both whites and blacks. 1  She portrays the evils of slavery as especially damaging to maternal bonds, as mothers dread the sale of their children.""
 'Harriet Beecher Stowe: 10 memorable quotes on her birthday By Elizabeth Drake June 13, 2012 American abolitionist writer Harriett Beecher Stowe was born on June 14, 1811 to Lyman Beecher, a Congregationalist minister.']","Harriett Beecher Stowe's birthday is on June 14, 1811."
define language deprived,"['Oct 30, 2000. LANGUAGE DEPRIVATION AND ITS RELATIONSHIP TO. THE SOCIAL AND INTELLECTUAL DEVELOPMENT OF DEAF CHILDREN. In the book Sibling Society, Robert Bly, discusses a study of deaf persons in which one group learned American Sign Language at a young age, and another group that learned the language later in life.'
 'Language deprivation. Language deprivation is associated with the lack of linguistic stimuli that are necessary for the language acquisition processes in an individual, usually in a very impoverished environment. Experiments involving language deprivation are very scarce due to the ethical controversy associated with it.'
 'Language deprivation experiments. Language deprivation experiments have been attempted several times through history, isolating infants from the normal use of spoken or signed language in an attempt to discover the fundamental character of human nature or the origin of language.'
 ""WordReference Random House Learner's Dictionary of American English © 2017. de•prived /dɪˈpraɪvd/USA pronunciation adj. lacking food, shelter, or money:They gave money to help deprived children.""
 ""Learner's definition of DEPRIVED. [more deprived; most deprived] : not having the things that are needed for a good or healthy life. emotionally deprived children. The diet allows you to eat small amounts of your favorite foods, so you won't feel deprived.""
 '(dĭ-prīv′) tr.v. de·prived, de·priv·ing, de·prives. 1. To take something away from: The court ruling deprived us of any share in the inheritance. 2. To keep from possessing or enjoying; deny: They were deprived of a normal childhood by the war. 3. To remove from office.'
 'Although not designed to study language, similar experiments on non-human primates (labelled the Pit of despair) utilising complete social deprivation resulted in psychosis.'
 "": not having the things that are needed for a good or healthy life. 1  emotionally deprived children. 2  The diet allows you to eat small amounts of your favorite foods, so you won't feel deprived. 3  people who are sleep-deprived [=people who do not get enough sleep]""
 'deprived adjadjective: Describes a noun or pronoun--for example, a tall girl, an interesting book, a big house.. (underprivileged) desfavorecido/a adjadjetivo: Describe el sustantivo. Puede ser posesivo, numeral, demostrativo (casa grande, mujer alta). He came from a deprived background but achieved great success. Proviene de un entorno desfavorecido pero alcanzó gran éxito. deprived adjadjective: Describes a noun or pronoun--for example, a tall girl, an interesting book, a big house.. (lacking) privado participioparticipio pasado: Participio pasado del verbo (amado, dejado, vivido). Se usa para formar tiempos comuestos (he vivido o para describir mi amado padre).'
 'Deaf Children: Language Deprivation. By William Vicars, Ed.D. In the book Sibling Society, Robert Bly, discusses a study of deaf persons in which one group learned American Sign Language at a young age, and another group that learned the language later in life.']","It is associated with the lack of linguistic stimuli that are necessary for the language acquisition processes in an individual, usually in a very impoverished environment."
role clarity definition,"['This article presents a discussion of the importance of providing meaningful advanced practice nursing role definition and clarity to improve international standards of nursing titles and scopes of practice.'
 'How to Define Role Clarity in Your Agile Organization. When establishing your Agile framework, there will often be times when you will need to reconcile how roles should interact with each other. This will especially be the case with roles OUTSIDE of your framework such as with senior leadership and operations.'
 'The potential benefits of this approach are substantial. The provision of clarity around nursing roles brings with it, a sense of professional identity and the ability to provide consistent measures of outcome for the various roles and the different scopes of practice that nursing roles embody.'
 '6 thoughts on “How to Define Role Clarity in Your Agile Organization”. One of the roles that I have seen that requires clarification in many companies doing Scrum is that of the Functional Manager. It is not very well defined, and the people in those roles are sometimes conflicted as to how involved they should be.'
 'This article supports the need to strengthen the Nurse Practitioner role in health care and professional clarity is identified as a strategy to enhance this. Themes around role clarity, professional identity, ability to enhance healthcare provision and inter-professional issues are examined.'
 'A plethora of international literature exists discussing advanced practice nursing roles and their contribution to healthcare delivery in various countries. However, lack of consistency around title, role definition and scope of practice remains.'
 'The Importance of Role Clarity. There are multiple strategies that have the potential to awaken professionalism in nursing including work in role clarity. Role clarity helps us to clearly define what it is that is nursing’s alone to own as well as to define the role of each individual nurse in each domain of practice. Within the profession of nursing we have three domains within which we function. They are: independent practice (separate from medical practice)'
 'Arguments are made to strengthen the importance of the NP role in health care. Themes around role clarity, professional identity, ability to enhance the provision of health care and inter-professional issues are examined.'
 'To assist in finding role clarity, a “needs-based exercise” was developed to identify what is actually needed from a role instead of making assumptions based on past history, tainted relationships, stubborn silos, or old processes. Here is how the exercise works: Preparation.'
 'The most common response I hear from individuals in organizations who commit to the important work of role clarity is that they can’t believe they waited this long to do it! Fostering connections at work and creating teams have always energized Suzanne, who is a consultant at Creative Health Care Management.']",Role clarity is what it is that is nursing’s alone to own as well as to define the role of each individual nurse in each domain of practice.
what does the name cull mean,"['[ 1 syll. cul (l), cu-ll ] The baby boy name Cull is pronounced as K AH L †. Cull is derived from Old French origins.Cull is a derivative of the Irish, Scottish, and English name Cullen. Cull is irregularly used as a baby boy name. It is not ranked within the top 1000. In 2012, out of the family of boy names directly linked to Cull, Cullen was the most frequently used. 1 syll. cul (l), cu-ll ] The baby boy name Cull is pronounced as K AH L †. Cull is derived from Old French origins.'
 'In biology, culling is the process of segregating organisms from a group according to desired or undesired characteristics. In animal breeding, culling is the process of removing or segregating animals from a breeding stock based on specific criteria.This is done either to reinforce or exaggerate desirable characteristics, or to remove undesirable characteristics from the group.he word comes from the Latin colligere, which means to collect . The term can be applied broadly to mean sorting a collection into two groups: one that will be kept and one that will be rejected. The cull is the set of items rejected during the selection process.'
 'Full Definition of CULL. transitive verb. 1. 2. : to reduce or control the size of (as a herd) by removal (as by hunting) of especially weaker animals; also: to hunt or kill (animals) as a means of population control.— cull·er noun. See cull defined for English-language learners. See cull defined for kids.. 2. : to reduce or control the size of (as a herd) by removal (as by hunting) of especially weaker animals; also: to hunt or kill (animals) as a means of population control.'
 '• CULL (noun). The noun CULL has 1 sense: 1. the person or thing that is rejected or set aside as inferior in quality. Familiarity information: CULL used as a noun is very rare.• CULL (verb). The verb CULL has 2 senses: 1. remove something that has been rejected. 2. look for and gather. Familiarity information: CULL used as a verb is rare. CULL (noun). The noun CULL has 1 sense: 1. the person or thing that is rejected or set aside as inferior in quality. Familiarity information: CULL used as a noun is very rare.'
 'Culling is sometimes used as a term to describe indiscriminate killing within one particular species which can be due to a range of reasons, for example, badger culling in the United Kingdom.he word comes from the Latin colligere, which means to collect . The term can be applied broadly to mean sorting a collection into two groups: one that will be kept and one that will be rejected. The cull is the set of items rejected during the selection process.'
 ""Generally 'cull' means killing-for example, kangaroos in Australia are culled when there are so many that the alternative is for half the population to slowly starve to death, and deformed calves are culled from the herd shortly after birth.However, this is not always the case. When talking about chickens or any farm animals Culling is removing or getting rid of unwanted stock. It does not always mean killing the unwanted stock as you can c … ull a flock by selling off excess birds.""
 'Culling, is a word meaning to remove certain undesirable animals from an ecosystem in order to acquire a more healthy population. This can be practiced while managing a pond o … r personal body of water. However, culling is most often used in fishing when referring to tournament fishing. When talking about chickens or any farm animals Culling is removing or getting rid of unwanted stock. It does not always mean killing the unwanted stock as you can c … ull a flock by selling off excess birds.'
 'Culling is the process of removing breeding animals from a group based on specific criteria. This is done either to reinforce certain desirable characteristics or to remove certain undesirable characteristics from the group.For livestock and wildlife alike, culling usually implies the killing of the removed animals.iktionary (0.00 / 0 votes) Rate this definition: culling (Noun). The act of culling; the process of selecting for acceptance or removal. culling (Noun). Anything separated or selected from a mass.'
 'The word cull is used in a couple of different ways. First, if a person culls due to illness, it normally means that they humanely put the bird out of its misery. Sometimes this is the most good you can do, even for one of those beloved.he word cull is used in a couple of different ways. First, if a person culls due to illness, it normally means that they humanely put the bird out of its misery. Sometimes this is the most good you can do, even for one of those beloved.'
 'Culling The rejection or removal of inferior individuals from breeding. The act of selective breeding. As used in the practice of breeding pedigree cats, this refers to the practice of spaying or neutering a kitten or cat that does not measure up to the show standard (or other standard being applied) for that breed.he word comes from the Latin colligere, which means to collect . The term can be applied broadly to mean sorting a collection into two groups: one that will be kept and one that will be rejected. The cull is the set of items rejected during the selection process.']",Killing
